Ans	Guess	Size	DistRatio	Dist	I	J
0	0	80.5	0.782609	63	000088-open-2015-163-Magenta.cpp	000090-open-2015-152-Magenta.cpp
0	0	124	0.58871	73	000088-open-2015-163-Magenta.cpp	000112-open-2015-214-Magenta.cpp
0	0	104	0.557692	58	000088-open-2015-163-Magenta.cpp	000140-open-2015-113-Magenta.cpp
0	0	79	0.759494	60	000088-open-2015-163-Magenta.cpp	000158-open-2015-066-Magenta.cpp
0	0	84	0.714286	60	000088-open-2015-163-Magenta.cpp	000161-open-2015-203-Magenta.cpp
0	0	93	0.430108	40	000088-open-2015-163-Magenta.cpp	000167-open-2015-094-Magenta.cpp
0	0	79	0.759494	60	000088-open-2015-163-Magenta.cpp	000205-open-2015-066-Magenta.cpp
0	0	170	0.841176	143	000088-open-2015-163-Magenta.cpp	000211-open-2015-255-Magenta.cpp
0	0	119	0.655462	78	000088-open-2015-163-Magenta.cpp	000278-open-2015-018-Magenta.cpp
0	0	109.5	0.621005	68	000088-open-2015-163-Magenta.cpp	000296-open-2015-031-Magenta.cpp
0	0	150	0.786667	118	000088-open-2015-163-Magenta.cpp	000345-open-2015-194-Magenta.java
0	0	110.5	0.561086	62	000088-open-2015-163-Magenta.cpp	000439-open-2015-262-Magenta.cpp
0	0	165.5	0.870091	144	000088-open-2015-163-Magenta.cpp	000489-open-2015-153-Magenta.cpp
0	0	113	0.60177	68	000088-open-2015-163-Magenta.cpp	000533-open-2015-216-Magenta.cpp
0	0	193.5	1.02842	199	000088-open-2015-163-Magenta.cpp	000537-open-2015-216-Magenta.cpp
0	0	116	0.663793	77	000088-open-2015-163-Magenta.cpp	000551-open-2015-191-Magenta.cpp
0	0	80.5	0.819876	66	000088-open-2015-163-Magenta.cpp	000559-open-2015-328-Magenta.cpp
0	0	116	0.663793	77	000088-open-2015-163-Magenta.cpp	000568-open-2015-191-Magenta.cpp
0	0	80.5	0.819876	66	000088-open-2015-163-Magenta.cpp	000680-open-2015-328-Magenta.cpp
0	0	93	0.55914	52	000088-open-2015-163-Magenta.cpp	000803-open-2015-334-Magenta.cpp
0	0	110	0.654545	72	000088-open-2015-163-Magenta.cpp	000836-open-2015-206-Magenta.cpp
0	0	81	0.790123	64	000088-open-2015-163-Magenta.cpp	000852-open-2015-340-Magenta.cpp
0	0	228.5	1.13786	260	000088-open-2015-163-Magenta.cpp	000902-open-2015-264-Magenta.cpp
0	0	103.5	0.541063	56	000088-open-2015-163-Magenta.cpp	000995-open-2015-336-Magenta.cpp
0	0	102	0.588235	60	000088-open-2015-163-Magenta.cpp	001030-open-2015-239-Magenta.cpp
0	0	269.5	1.2616	340	000088-open-2015-163-Magenta.cpp	001068-open-2015-264-Magenta.cpp
0	0	107.5	0.613953	66	000088-open-2015-163-Magenta.cpp	001089-open-2015-239-Magenta.cpp
0	0	107.5	0.613953	66	000088-open-2015-163-Magenta.cpp	001110-open-2015-239-Magenta.cpp
0	0	90	0.633333	57	000088-open-2015-163-Magenta.cpp	001115-open-2015-336-Magenta.cpp
0	0	124	0.572581	71	000088-open-2015-163-Magenta.cpp	001190-open-2015-257-Magenta.cpp
0	0	96	0.604167	58	000088-open-2015-163-Magenta.cpp	001231-open-2015-157-Magenta.cpp
0	0	96	0.604167	58	000088-open-2015-163-Magenta.cpp	001301-open-2015-157-Magenta.cpp
0	0	102.5	0.517073	53	000088-open-2015-163-Magenta.cpp	001375-open-2015-006-Magenta.cpp
0	0	146	0.767123	112	000088-open-2015-163-Magenta.cpp	001448-open-2015-326-Magenta.cpp
0	0	106	0.54717	58	000088-open-2015-163-Magenta.cpp	001506-open-2015-145-Magenta.cpp
0	0	179	0.994413	178	000088-open-2015-163-Magenta.cpp	001515-open-2015-064-Magenta.cpp
0	0	589	1.66214	979	000088-open-2015-163-Magenta.cpp	001712-open-2015-216-Magenta.cpp
0	0	135.5	0.671587	91	000088-open-2015-163-Magenta.cpp	001721-open-2015-050-Magenta.cpp
0	0	100.5	0.626866	63	000088-open-2015-163-Magenta.cpp	001727-open-2015-322-Magenta.cpp
0	0	123.5	0.623482	77	000088-open-2015-163-Magenta.cpp	001731-open-2015-314-Magenta.cpp
0	0	124	0.580645	72	000088-open-2015-163-Magenta.cpp	001762-open-2015-145-Magenta.cpp
0	0	179	0.994413	178	000088-open-2015-163-Magenta.cpp	001767-open-2015-064-Magenta.cpp
0	0	127.5	0.666667	85	000088-open-2015-163-Magenta.cpp	001777-open-2015-314-Magenta.cpp
0	0	178	0.988764	176	000088-open-2015-163-Magenta.cpp	001878-open-2015-064-Magenta.cpp
0	0	129	0.682171	88	000088-open-2015-163-Magenta.cpp	001882-open-2015-326-Magenta.cpp
0	0	155.5	0.81672	127	000088-open-2015-163-Magenta.cpp	001938-open-2015-050-Magenta.cpp
0	0	126	0.65873	83	000088-open-2015-163-Magenta.cpp	001951-open-2015-326-Magenta.cpp
0	0	83	0.746988	62	000088-open-2015-163-Magenta.cpp	001975-open-2015-336-Magenta.cpp
0	0	105	0.609524	64	000088-open-2015-163-Magenta.cpp	001981-open-2015-130-Magenta.cpp
0	0	105	0.609524	64	000088-open-2015-163-Magenta.cpp	001994-open-2015-130-Magenta.cpp
0	0	164	0.859756	141	000088-open-2015-163-Magenta.cpp	002003-open-2015-152-Magenta.cpp
0	0	164	0.859756	141	000088-open-2015-163-Magenta.cpp	002017-open-2015-152-Magenta.cpp
0	0	106	0.509434	54	000088-open-2015-163-Magenta.cpp	002021-open-2015-322-Magenta.cpp
0	0	122	0.704918	86	000088-open-2015-163-Magenta.cpp	002046-open-2015-157-Magenta.cpp
0	0	135	0.711111	96	000088-open-2015-163-Magenta.cpp	002062-open-2015-232-Magenta.cpp
0	0	119	0.705882	84	000088-open-2015-163-Magenta.cpp	002072-open-2015-309-Magenta.java
0	0	178	0.988764	176	000088-open-2015-163-Magenta.cpp	002087-open-2015-064-Magenta.cpp
0	0	105	0.514286	54	000088-open-2015-163-Magenta.cpp	002101-open-2015-322-Magenta.cpp
0	0	136	0.727941	99	000088-open-2015-163-Magenta.cpp	002139-open-2015-326-Magenta.cpp
0	0	178	0.988764	176	000088-open-2015-163-Magenta.cpp	002157-open-2015-064-Magenta.cpp
0	0	175.5	0.900285	158	000088-open-2015-163-Magenta.cpp	002320-open-2015-050-Magenta.cpp
0	0	105.5	0.530806	56	000088-open-2015-163-Magenta.cpp	002324-open-2015-322-Magenta.cpp
0	0	103.5	0.376812	39	000088-open-2015-163-Magenta.cpp	002406-open-2015-338-Magenta.cpp
