Ans	Guess	Size	DistRatio	Dist	I	J
0	0	441.5	0.604757	267	000552-open-2015-118-Red.cpp	000571-open-2015-064-Red.cpp
0	0	359.5	0.656467	236	000552-open-2015-118-Red.cpp	000582-open-2015-305-Red.cpp
0	0	444	0.605856	269	000552-open-2015-118-Red.cpp	000586-open-2015-064-Red.cpp
0	0	445.5	0.606061	270	000552-open-2015-118-Red.cpp	000779-open-2015-064-Red.cpp
0	0	457.5	0.629508	288	000552-open-2015-118-Red.cpp	000785-open-2015-194-Red.java
0	0	399	0.609023	243	000552-open-2015-118-Red.cpp	000835-open-2015-292-Red.cpp
0	0	489.5	0.522983	256	000552-open-2015-118-Red.cpp	000907-open-2015-006-Red.cpp
0	0	604	0.852649	515	000552-open-2015-118-Red.cpp	000934-open-2015-023-Red.pas
0	0	463.5	0.627832	291	000552-open-2015-118-Red.cpp	000971-open-2015-194-Red.java
0	0	380	0.565789	215	000552-open-2015-118-Red.cpp	001076-open-2015-324-Red.cpp
0	0	527.5	0.63128	333	000552-open-2015-118-Red.cpp	001110-open-2015-351-Red.cpp
0	0	407	0.574939	234	000552-open-2015-118-Red.cpp	001185-open-2015-326-Red.cpp
0	0	407	0.574939	234	000552-open-2015-118-Red.cpp	001212-open-2015-326-Red.cpp
0	0	407	0.574939	234	000552-open-2015-118-Red.cpp	001225-open-2015-326-Red.cpp
0	0	460	0.582609	268	000552-open-2015-118-Red.cpp	001256-open-2015-276-Red.cpp
0	0	433	0.556582	241	000552-open-2015-118-Red.cpp	001378-open-2015-255-Red.cpp
0	0	527	0.688805	363	000552-open-2015-118-Red.cpp	001394-open-2015-067-Red.cpp
0	0	353	0.648725	229	000552-open-2015-118-Red.cpp	001420-open-2015-314-Red.cpp
0	0	450	0.568889	256	000552-open-2015-118-Red.cpp	001433-open-2015-255-Red.cpp
0	0	506.5	0.566634	287	000552-open-2015-118-Red.cpp	001513-open-2015-351-Red.cpp
0	0	435	0.514943	224	000552-open-2015-118-Red.cpp	001533-open-2015-053-Red.cpp
0	0	506.5	0.566634	287	000552-open-2015-118-Red.cpp	001540-open-2015-351-Red.cpp
0	0	380	0.526316	200	000552-open-2015-118-Red.cpp	001597-open-2015-004-Red.cpp
0	0	535	0.706542	378	000552-open-2015-118-Red.cpp	001602-open-2015-067-Red.cpp
0	0	457.5	0.526776	241	000552-open-2015-118-Red.cpp	001627-open-2015-053-Red.cpp
0	0	462	0.530303	245	000552-open-2015-118-Red.cpp	001637-open-2015-053-Red.cpp
0	0	435	0.510345	222	000552-open-2015-118-Red.cpp	001638-open-2015-322-Red.cpp
